fileName	dsk	author
2007\01\01\1815742.xml	Business/Financial Desk	By BOB TEDESCHI
2007\01\01\1815743.xml	The Arts/Cultural Desk	By STEPHEN HOLDEN
2007\01\01\1815744.xml	The Arts/Cultural Desk	By ANTHONY TOMMASINI
2007\01\01\1815745.xml	The Arts/Cultural Desk	By ALAN RIDING
2007\01\01\1815746.xml	The Arts/Cultural Desk	By CAMPBELL ROBERTSON; Nick Bunkley contributed reporting from Livonia, Mich.; Kyle Whitmire from Huntsville, Ala.; Libby Sander from Lincolnshire, Ill.; and Michael Parrish from Burbank, Calif.
2007\01\01\1815747.xml	The Arts/Cultural Desk	By SHARON WAXMAN
2007\01\01\1815748.xml	The Arts/Cultural Desk	Compiled by Lawrence Van Gelder
2007\01\01\1815749.xml	The Arts/Cultural Desk	By KATHRYN SHATTUCK
2007\01\01\1815750.xml	The Arts/Cultural Desk	By Kelefa Sanneh
2007\01\01\1815751.xml	The Arts/Cultural Desk	By NATE CHINEN
2007\01\01\1815752.xml	The Arts/Cultural Desk	By JULIE GALAMBUSH
2007\01\01\1815754.xml	Business/Financial Desk	By LAURA M. HOLSON
2007\01\01\1815755.xml	Business/Financial Desk	By ALEX MINDLIN
2007\01\01\1815756.xml	Business/Financial Desk	By ERIC A. TAUB
2007\01\01\1815757.xml	Business/Financial Desk	By IAN AUSTEN
2007\01\01\1815758.xml	Business/Financial Desk	By JOHN MARKOFF
2007\01\01\1815759.xml	Business/Financial Desk	By NOAM COHEN
2007\01\01\1815760.xml	Business/Financial Desk	By MIGUEL HELFT
2007\01\01\1815761.xml	Business/Financial Desk	By AMY CORTESE
2007\01\01\1815762.xml	Business/Financial Desk	By KATHARINE Q. SEELYE
2007\01\01\1815763.xml	Business/Financial Desk	By MARIA ASPAN
2007\01\01\1815765.xml	Business/Financial Desk	By JOSEPH B. TREASTER; Ian Austen contributed reporting.
2007\01\01\1815769.xml	Metropolitan Desk	By ANTHONY RAMIREZ
2007\01\01\1815770.xml	Metropolitan Desk	By DANNY HAKIM
2007\01\01\1815771.xml	Sports Desk	By FRANK LITSKY
2007\01\01\1815772.xml	The Arts/Cultural Desk	By PHIL SWEETLAND
2007\01\01\1815773.xml	The Arts/Cultural Desk	By ROJA HEYDARPOUR
2007\01\01\1815777.xml	Editorial Desk	By VERLYN KLINKENBORG
2007\01\01\1815781.xml	Editorial Desk	By Pascal Bruckner
2007\01\01\1815782.xml	Editorial Desk	By BOB HERBERT
2007\01\01\1815783.xml	Editorial Desk	By PAUL KRUGMAN
2007\01\01\1815784.xml	Editorial Desk	By Arthur M. Schlesinger Jr.
2007\01\01\1815785.xml	Foreign Desk	By STEVEN ERLANGER
2007\01\01\1815787.xml	Foreign Desk	By NAZILA FATHI
2007\01\01\1815788.xml	Foreign Desk	By SIMON ROMERO
2007\01\01\1815789.xml	Foreign Desk	By ELISSA GOOTMAN
2007\01\01\1815790.xml	Metropolitan Desk	By ROJA HEYDARPOUR
2007\01\01\1815791.xml	Metropolitan Desk	By FERNANDA SANTOS; Angela Macropoulos contributed reporting.
2007\01\01\1815792.xml	Foreign Desk	By STEVEN LEE MYERS
2007\01\01\1815793.xml	Foreign Desk	By SETH MYDANS
2007\01\01\1815794.xml	Metropolitan Desk	By MICHAEL WILSON and KATE HAMMER
2007\01\01\1815795.xml	Metropolitan Desk	By SAM ROBERTS
2007\01\01\1815796.xml	Sports Desk	By PETE THAMEL
2007\01\01\1815797.xml	Sports Desk	Compiled from The Associated Press
2007\01\01\1815800.xml	Sports Desk	By DAVE CALDWELL
2007\01\01\1815801.xml	National Desk	By DAVID STOUT
2007\01\01\1815802.xml	National Desk	By CHRISTOPHER MAAG
2007\01\01\1815803.xml	National Desk	By LINDA GREENHOUSE
2007\01\01\1815807.xml	Sports Desk	By JUDY BATTISTA
2007\01\01\1815808.xml	National Desk	By ANDREW C. REVKIN
2007\01\01\1815809.xml	Metropolitan Desk	By HAEYOUN PARK AND GRAHAM ROBERTS
2007\01\01\1815810.xml	National Desk	By DAVID D. KIRKPATRICK and ASHLEY PARKER
2007\01\01\1815811.xml	National Desk	By SUSAN SAULNY
2007\01\01\1815815.xml	Business/Financial Desk	By SHELLY FREIERMAN
2007\01\01\1815816.xml	Sports Desk	By JOHN BRANCH
2007\01\01\1815817.xml	Sports Desk	By RICHARD SANDOMIR
2007\01\01\1815818.xml	Sports Desk	By DAVE ANDERSON
2007\01\01\1815819.xml	Sports Desk	By KAREN CROUSE
2007\01\01\1815820.xml	Sports Desk	By MICHAEL S. SCHMIDT
2007\01\01\1815821.xml	Sports Desk	By KAREN CROUSE
2007\01\01\1815822.xml	Business/Financial Desk	By DAVID CARR
2007\01\01\1815823.xml	Sports Desk	By PETE THAMEL
2007\01\01\1815825.xml	Sports Desk	By JOE LAPOINTE
2007\01\01\1815827.xml	Sports Desk	By JER� LONGMAN
2007\01\01\1815828.xml	Sports Desk	By HOWARD BECK
2007\01\01\1815829.xml	Sports Desk	By WILLIAM C. RHODEN
